sensor_id,sensor_type,location,lat,lon,timestamp,pressure,altitude,pressure_sealevel,temperature,humidity
4024,BME280,2026,51.002,13.668,2019-04-09T00:03:24,98518.75,,,9.41,54.75
4024,BME280,2026,51.002,13.668,2019-04-09T00:08:31,98519.45,,,9.53,54.46
4024,BME280,2026,51.002,13.668,2019-04-09T00:13:37,98521.02,,,9.46,55.07
4024,BME280,2026,51.002,13.668,2019-04-09T00:18:43,98518.66,,,9.18,55.73
4024,BME280,2026,51.002,13.668,2019-04-09T00:23:49,98519.75,,,8.96,56.16
4024,BME280,2026,51.002,13.668,2019-04-09T00:28:56,98519.02,,,9.09,55.83
4024,BME280,2026,51.002,13.668,2019-04-09T00:34:03,98522.91,,,9.20,55.46
4024,BME280,2026,51.002,13.668,2019-04-09T00:39:09,98520.53,,,9.27,55.77
4024,BME280,2026,51.002,13.668,2019-04-09T00:44:16,98517.82,,,8.73,57.16
4024,BME280,2026,51.002,13.668,2019-04-09T00:49:23,98521.44,,,8.78,56.89
4024,BME280,2026,51.002,13.668,2019-04-09T00:54:29,98522.63,,,8.79,56.72
4024,BME280,2026,51.002,13.668,2019-04-09T00:59:37,98522.48,,,8.71,57.21
4024,BME280,2026,51.002,13.668,2019-04-09T01:04:43,98526.45,,,8.61,57.26
4024,BME280,2026,51.002,13.668,2019-04-09T01:09:49,98535.77,,,8.73,56.85
4024,BME280,2026,51.002,13.668,2019-04-09T01:14:55,98536.00,,,8.85,57.04
4024,BME280,2026,51.002,13.668,2019-04-09T01:20:01,98535.94,,,8.65,57.92
4024,BME280,2026,51.002,13.668,2019-04-09T01:25:09,98539.17,,,8.59,57.77
4024,BME280,2026,51.002,13.668,2019-04-09T01:30:40,98545.91,,,8.44,58.41
4024,BME280,2026,51.002,13.668,2019-04-09T01:35:54,98538.81,,,8.58,57.83
4024,BME280,2026,51.002,13.668,2019-04-09T01:41:34,98537.77,,,8.65,58.00
4024,BME280,2026,51.002,13.668,2019-04-09T01:46:59,98530.09,,,8.35,58.75
4024,BME280,2026,51.002,13.668,2019-04-09T01:52:27,98532.48,,,8.44,58.79
